cliente,Razão Social,CNPJ,Data emissão,Vencimento líquido,Produto,Nº Nota Fiscal,Status Boleto,Valor Original (por produto),Montante de imposto,Juros,Multa,Valor Total (nota),Link  NFS-e,Link  Boleto,Qtde Transação
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2024-01-30 00:00:00,2024-02-07 00:00:00,Velocity Check,63404,Compensando,3826.54,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=126T.1971.4641.8628699-V&numdoc=26669170000157,"",9413
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2024-01-30 00:00:00,2024-02-07 00:00:00,Cartão Protegido,63407,Compensando,39.85,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=937Q.2143.2619.8955699-R&numdoc=28589883000136,"",8
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2024-01-30 00:00:00,2024-02-07 00:00:00,Pagador,63408,Compensando,99.1,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=779Q.9160.6212.3673399-O&numdoc=28589883000136,"",70
,2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2024-01-30 00:00:00,2024-02-07 00:00:00,Pagador,63411,Compensando,93.88,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=290G.9368.9010.2668599-Z&numdoc=28581358000174,"",49
,189 SP - GASTRONOMIA E ENTRETENIMENTO LTDA,24.808.490/0001-15,2024-01-19 00:00:00,2024-02-06 00:00:00,AntiFraude,63202,Compensando,506.43,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=188T.6931.5349.2735199-X&numdoc=24808490000115,"",1
,189 SP - GASTRONOMIA E ENTRETENIMENTO LTDA,24.808.490/0001-15,2023-12-27 00:00:00,2024-01-11 00:00:00,Velocity Check,62791,Compensando,159.63,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=160W.8725.7271.4438499-Z&numdoc=24808490000115,"",1
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2023-12-27 00:00:00,2024-01-04 00:00:00,Pagador,61861,Compensando,4648.9,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=190Z.0830.9301.3605399-Z&numdoc=26669170000157,"",43
,123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2023-12-27 00:00:00,2024-01-04 00:00:00,Velocity Check,62807,Compensando,3826.53,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=678Q.1544.1914.5807499-D&numdoc=26669170000157,"",16421
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2023-12-27 00:00:00,2024-01-04 00:00:00,Cartão Protegido,61735,Compensando,39.85,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=109W.2580.2471.0960399-Y&numdoc=28589883000136,"",8
,2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2023-12-27 00:00:00,2024-01-04 00:00:00,Pagador,61867,Compensando,99.1,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=107Z.3715.5905.6481799-W&numdoc=28589883000136,"",75
,2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2023-12-27 00:00:00,2024-01-04 00:00:00,Pagador,61874,Compensando,93.88,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=167X.4955.7686.6470899-W&numdoc=28581358000174,"",22
,189 SP - GASTRONOMIA E ENTRETENIMENTO LTDA,24.808.490/0001-15,2023-12-18 00:00:00,2024-01-02 00:00:00,AntiFraude,61495,Compensando,506.43,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=441Q.8866.5563.9349799-Q&numdoc=24808490000115,"",1
,189 SP - GASTRONOMIA E ENTRETENIMENTO LTDA,24.808.490/0001-15,2023-11-29 00:00:00,2024-01-01 00:00:00,Velocity Check,59873,Compensando,159.63,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=770Q.0296.7217.3884799-F&numdoc=24808490000115,"",1
,189 SP - GASTRONOMIA E ENTRETENIMENTO LTDA,24.808.490/0001-15,2023-06-28 00:00:00,2023-12-27 00:00:00,Velocity Check,51350,Compensando,159.63,,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=357Z.4183.2554.5917599-W&numdoc=24808490000115,"",1
5661,2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2023-12-11 00:00:00,2023-12-19 00:00:00,Pagador,61199,Pendente,2040.82,0,660.28,40.82,2741.92,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=539R.1824.1524.3965199-Y&numdoc=28581358000174,https://www.pagador.com.br/post/pagador/reenvia.asp/b3fd4f74-9fbe-425e-9e10-49eedc247b25,1
