Razão Social,CNPJ,Data Emissão,Data Vencimento,Nº Nota Fiscal,Produto,Status,Valor original,Imposto retido,Juros,Multa,Valor atualizado,Link  NFS-e,Link  Boleto,Status Boleto,Qtde Transação
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2024-07-30 00:00:00,2024-08-07 00:00:00,73868,Cartão Protegido,,"R$ 39,85",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=102R.5626.3821.4373099-R&numdoc=28589883000136,"",Compensando,                 12
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2024-07-19 00:00:00,2024-07-27 00:00:00,73471,Pagador,,"R$ 4648,90",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=129Y.5887.6099.2785799-Y&numdoc=26669170000157,"",Compensando,                  1
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2024-06-28 00:00:00,2024-07-06 00:00:00,72362,Pagador,,"R$ 4648,90",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=119Q.9879.0912.3057599-Y&numdoc=26669170000157,"",Compensando,                  1
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2024-06-28 00:00:00,2024-07-06 00:00:00,72373,Pagador,,"R$ 99,10",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=129W.4215.6172.7304899-Y&numdoc=28589883000136,"",Compensando,                 74
2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2024-06-28 00:00:00,2024-07-06 00:00:00,72382,Pagador,,"R$ 93,88",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=537Q.2829.5716.3936099-W&numdoc=28581358000174,"",Compensando,                 24
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2024-06-27 00:00:00,2024-07-05 00:00:00,72017,Velocity Check,,"R$ 3826,53",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=112I.4058.9839.5009899-R&numdoc=26669170000157,"",Compensando,             15.377
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2024-06-27 00:00:00,2024-07-05 00:00:00,72202,Cartão Protegido,,"R$ 39,85",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=211Z.0386.9406.3430999-Q&numdoc=28589883000136,"",Compensando,                  8
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2024-05-28 00:00:00,2024-06-05 00:00:00,70713,Velocity Check,,"R$ 3826,53",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=579W.7326.9977.2768299-Y&numdoc=26669170000157,"",Compensando,             15.705
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2024-05-28 00:00:00,2024-06-05 00:00:00,70729,Pagador,,"R$ 4648,90",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=234S.7563.5138.7380899-T&numdoc=26669170000157,"",Compensando,                  1
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2024-05-28 00:00:00,2024-06-05 00:00:00,70167,Cartão Protegido,,"R$ 39,85",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=204Q.6815.5010.3045599-T&numdoc=28589883000136,"",Compensando,                  7
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2024-05-28 00:00:00,2024-06-05 00:00:00,71023,Pagador,,"R$ 99,10",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=182T.5907.8144.7266299-R&numdoc=28589883000136,"",Compensando,                 73
2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2024-05-28 00:00:00,2024-06-05 00:00:00,71224,Pagador,,"R$ 93,88",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=835R.0060.9221.1330899-U&numdoc=28581358000174,"",Compensando,                 40
189 SP - GASTRONOMIA E ENTRETENIMENTO LTDA,24.808.490/0001-15,2024-03-27 00:00:00,2024-05-27 00:00:00,67120,Velocity Check,,"R$ 159,63",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=121M.6832.3871.3549599-Q&numdoc=24808490000115,"",Compensando,                  1
189 SP - GASTRONOMIA E ENTRETENIMENTO LTDA,24.808.490/0001-15,2024-04-12 00:00:00,2024-05-27 00:00:00,68251,AntiFraude,,"R$ 506,43",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=324Q.8502.8915.9096799-T&numdoc=24808490000115,"",Compensando,                  1
189 SP - GASTRONOMIA E ENTRETENIMENTO LTDA,24.808.490/0001-15,2024-04-12 00:00:00,2024-05-27 00:00:00,68252,Emailage,,"R$ 324,05",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=149A.1866.8357.4063299-Y&numdoc=24808490000115,"",Compensando,                  1
189 SP - GASTRONOMIA E ENTRETENIMENTO LTDA,24.808.490/0001-15,2024-04-29 00:00:00,2024-05-27 00:00:00,69283,Velocity Check,,"R$ 159,63",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=132X.8336.2282.0880399-R&numdoc=24808490000115,"",Compensando,                  1
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2024-04-29 00:00:00,2024-05-07 00:00:00,68962,Velocity Check,,"R$ 3826,53",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=587G.2381.0615.9427499-W&numdoc=26669170000157,"",Compensando,             18.455
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2024-04-29 00:00:00,2024-05-07 00:00:00,69328,Pagador,,"R$ 99,10",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=197X.9089.7088.0119199-W&numdoc=28589883000136,"",Compensando,                 70
2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2024-04-29 00:00:00,2024-05-07 00:00:00,69611,Pagador,,"R$ 93,88",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=209R.4671.6124.2383299-Y&numdoc=28581358000174,"",Compensando,                 72
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2024-03-27 00:00:00,2024-04-04 00:00:00,67121,Velocity Check,,"R$ 3826,53",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=756Q.0223.0411.7192799-L&numdoc=26669170000157,"",Compensando,             19.212
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2024-03-27 00:00:00,2024-04-04 00:00:00,67227,Pagador,,"R$ 4648,90",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=186V.3220.7268.1695099-V&numdoc=26669170000157,"",Compensando,                  1
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2024-03-27 00:00:00,2024-04-04 00:00:00,66769,Cartão Protegido,,"R$ 39,85",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=611Y.8274.7898.2491199-Q&numdoc=28589883000136,"",Compensando,                 11
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2024-03-27 00:00:00,2024-04-04 00:00:00,67228,Pagador,,"R$ 99,10",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=132T.2539.1148.6420999-R&numdoc=28589883000136,"",Compensando,                 57
2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2024-03-27 00:00:00,2024-04-04 00:00:00,67231,Pagador,,"R$ 93,88",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=528X.0779.0731.6961599-X&numdoc=28581358000174,"",Compensando,                 74
189 SP - GASTRONOMIA E ENTRETENIMENTO LTDA,24.808.490/0001-15,2024-03-14 00:00:00,2024-03-29 00:00:00,66578,AntiFraude,,"R$ 506,43",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=163X.2263.7882.1895999-S&numdoc=24808490000115,"",Compensando,                  1
189 SP - GASTRONOMIA E ENTRETENIMENTO LTDA,24.808.490/0001-15,2024-02-28 00:00:00,2024-03-14 00:00:00,65438,Velocity Check,,"R$ 159,63",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=198W.4527.3271.0097799-X&numdoc=24808490000115,"",Compensando,                  1
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2024-02-28 00:00:00,2024-03-07 00:00:00,65439,Velocity Check,,"R$ 3826,53",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=204N.6245.7181.5505899-T&numdoc=26669170000157,"",Compensando,             14.097
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2024-02-28 00:00:00,2024-03-07 00:00:00,65560,Pagador,,"R$ 99,10",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=166G.0629.7211.6158899-V&numdoc=28589883000136,"",Compensando,                 39
2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2024-02-28 00:00:00,2024-03-07 00:00:00,65563,Pagador,,"R$ 93,88",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=419G.8536.3619.0523699-Y&numdoc=28581358000174,"",Compensando,                 33
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2024-02-27 00:00:00,2024-03-06 00:00:00,65112,Cartão Protegido,,"R$ 39,85",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=136J.0750.6346.2521099-V&numdoc=28589883000136,"",Compensando,                  9
189 SP - GASTRONOMIA E ENTRETENIMENTO LTDA,24.808.490/0001-15,2024-02-16 00:00:00,2024-03-02 00:00:00,64893,AntiFraude,,"R$ 506,43",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=124S.4177.3289.2025199-T&numdoc=24808490000115,"",Compensando,                  1
189 SP - GASTRONOMIA E ENTRETENIMENTO LTDA,24.808.490/0001-15,2024-01-30 00:00:00,2024-02-14 00:00:00,63406,Velocity Check,,"R$ 159,63",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=114Q.0686.2611.9196299-T&numdoc=24808490000115,"",Compensando,                  1
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2024-01-30 00:00:00,2024-02-07 00:00:00,63404,Velocity Check,,"R$ 3826,54",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=126T.1971.4641.8628699-V&numdoc=26669170000157,"",Compensando,              9.413
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2024-01-30 00:00:00,2024-02-07 00:00:00,63405,Pagador,,"R$ 4648,90",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=686V.9271.1310.1226899-B&numdoc=26669170000157,"",Compensando,                  1
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2024-01-30 00:00:00,2024-02-07 00:00:00,63407,Cartão Protegido,,"R$ 39,85",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=937Q.2143.2619.8955699-R&numdoc=28589883000136,"",Compensando,                  8
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2024-01-30 00:00:00,2024-02-07 00:00:00,63408,Pagador,,"R$ 99,10",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=779Q.9160.6212.3673399-O&numdoc=28589883000136,"",Compensando,                 70
2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2024-01-30 00:00:00,2024-02-07 00:00:00,63411,Pagador,,"R$ 93,88",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=290G.9368.9010.2668599-Z&numdoc=28581358000174,"",Compensando,                 49
189 SP - GASTRONOMIA E ENTRETENIMENTO LTDA,24.808.490/0001-15,2024-01-19 00:00:00,2024-02-03 00:00:00,63202,AntiFraude,,"R$ 506,43",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=188T.6931.5349.2735199-X&numdoc=24808490000115,"",Compensando,                  1
189 SP - GASTRONOMIA E ENTRETENIMENTO LTDA,24.808.490/0001-15,2023-12-27 00:00:00,2024-01-11 00:00:00,62791,Velocity Check,,"R$ 159,63",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=160W.8725.7271.4438499-Z&numdoc=24808490000115,"",Compensando,                  1
123 VIAGENS E TURISMO LTDA  EM RECUPERACAO JUDICIAL,26.669.170/0001-57,2023-12-27 00:00:00,2024-01-04 00:00:00,62807,Velocity Check,,"R$ 3826,53",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=678Q.1544.1914.5807499-D&numdoc=26669170000157,"",Compensando,             16.421
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2023-12-27 00:00:00,2024-01-04 00:00:00,61735,Cartão Protegido,,"R$ 39,85",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=109W.2580.2471.0960399-Y&numdoc=28589883000136,"",Compensando,                  8
2K COMERCIO DE COSMETICOS LTDA,28.589.883/0001-36,2023-12-27 00:00:00,2024-01-04 00:00:00,61867,Pagador,,"R$ 99,10",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=107Z.3715.5905.6481799-W&numdoc=28589883000136,"",Compensando,                 75
2W ADMINISTRACAO HOTELEIRA LTDA,28.581.358/0001-74,2023-12-27 00:00:00,2024-01-04 00:00:00,61874,Pagador,,"R$ 93,88",,,,,https://www.barueri.sp.gov.br/nfe/wfimagemnota.aspx?codigoautenticidade=167X.4955.7686.6470899-W&numdoc=28581358000174,"",Compensando,                 22
